Sample no. (MCCe);Species 1;Species 1 Code;Species 2; Species 2 Code ;Additional names;Time;System;Bio.Rep
449;None;None;None;None;Medium control;;;
450;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D1-T1;7;NoTDA;1
451;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D2-T1;7;NoTDA;2
452;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D3-T1;7;NoTDA;3
453;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D4-T1;7;NoTDA;4
454;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P1-T1;7;TDA;1
455;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P2-T1;7;TDA;2
456;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P3-T1;7;TDA;3
457;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P4-T1;7;TDA;4
458;None;None;None;None;Medium control;;;
459;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D1-T4;28;NoTDA;1
460;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D2-T4;28;NoTDA;2
461;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D3-T4;28;NoTDA;3
462;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D4-T4;28;NoTDA;4
463;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P1-T4;28;TDA;1
464;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P2-T4;28;TDA;2
465;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P3-T4;28;TDA;3
466;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P4-T4;28;TDA;4
467;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D1-T10;70;NoTDA;1
468;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D2-T10;70;NoTDA;2
469;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D3-T10;70;NoTDA;3
470;T. suecica community ;None;P. inhibens DSM17395 Δbtda;MMCe00071;TS-D4-T10;70;NoTDA;4
471;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P1-T10;70;TDA;1
472;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P2-T10;70;TDA;2
473;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P3-T10;70;TDA;3
474;T. suecica community ;None;P. inhibens DSM17395;MMCe00070;TS-P4-T10;70;TDA;4
