row m/z;MCCe0449.mzML Peak area;MCCe0450.mzML Peak area;MCCe0451.mzML Peak area;MCCe0452.mzML Peak area;MCCe0453.mzML Peak area;MCCe0454.mzML Peak area;MCCe0455.mzML Peak area;MCCe0456.mzML Peak area;MCCe0457.mzML Peak area;MCCe0458.mzML Peak area;MCCe0459.mzML Peak area;MCCe0460.mzML Peak area;MCCe0461.mzML Peak area;MCCe0462.mzML Peak area;MCCe0463.mzML Peak area;MCCe0464.mzML Peak area;MCCe0465.mzML Peak area;MCCe0466.mzML Peak area;MCCe0467.mzML Peak area;MCCe0468.mzML Peak area;MCCe0469.mzML Peak area;MCCe0470.mzML Peak area;MCCe0471.mzML Peak area;MCCe0472.mzML Peak area;MCCe0473.mzML Peak area;MCCe0474.mzML Peak area;MCCe0481.mzML Peak area;MCCe0482.mzML Peak area;MCCe0483.mzML Peak area;MCCe0484.mzML Peak area;MCCe0485.mzML Peak area;MCCe0486.mzML Peak area;MCCe0487.mzML Peak area;MCCe0488.mzML Peak area;MCCe0489.mzML Peak area;MCCe0490.mzML Peak area;MCCe0491.mzML Peak area;MCCe0492.mzML Peak area;MCCe0493.mzML Peak area;MCCe0494.mzML Peak area;MCCe0495.mzML Peak area;MCCe0496.mzML Peak area;MCCe0497.mzML Peak area;MCCe0498.mzML Peak area;MCCe0499.mzML Peak area;MCCe0500.mzML Peak area;MCCe0501.mzML Peak area;MCCe0502.mzML Peak area;MCCe0503.mzML Peak area;MCCe0504.mzML Peak area
111.1165251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138.49338;13.55427;55.319363;61.21632;48.5332;224.09764;21.992205;151.29846;80.51506;160.98366;204.70224;131.43137;271.42642;105.03995;20.834265;43.236607;62.33822;18.679832;116.69975;23.032953;20.777374;138.2414;57.174126;241.36707
122.0966048;82.88624;6.285302;35.842945;43.619076;20.063797;2.0768614;0;0;0;21.258905;59.21864;19.128927;19.37567;5.663203;46.68348;15.919919;73.951935;45.0737;48.192966;2.0537677;13.670015;65.47521;8.250324;19.71253;59.076435;70.27367;41.517273;12.8794365;55.650463;137.92294;227.06456;290.64325;86.876564;565.503;51.001183;1523.6973;112.274254;409.9763;55.187077;29.284744;97.40214;24.965935;185.09229;214.836;188.53455;390.20447;445.82062;523.3054;626.6219;535.23865
127.0729604;0;0;0;0;0;0;0;0;0;0;0;0;59.253002;0;0;0;0;0;0;0;0;0;0;0;286.4424;0;0;0;0;0;0;0;0;0;2.2232003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130.1588162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8126092;0;11.203005;84.775024;646.83606;188.57793;63.474274;16.051432;84.88971;61.973965;0;27.416512;13.7599125;13.403299;70.8795;83.14714;151.4525;41.112045;119.30229;213.78098;119.893105;171.00797
133.0348857;343.6474;279.12976;166.35059;354.86032;205.9563;270.20142;172.63622;120.76802;288.15033;668.74506;1223.6002;1333.2191;1341.4884;631.6428;2438.433;791.421;1190.422;1185.0172;1794.3197;1281.6764;1135.083;552.692;284.7745;961.5593;264.94315;664.4084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135.0474097;0;0;0;0;3.3812225;0;0;0;0;0;0;0;0;0;0;0;0;0;20.526735;0;0;0;0;0;0;0;0;14.554607;0;0;0;0;0;0;0;0;0;282.11957;0;0;0;0;0;0;0;0;0;0;0;0
138.9065444;7.0315456;17.114973;9.068636;28.24692;18.523663;14.279414;13.995943;21.367945;30.865614;49.354706;38.014545;50.799828;55.143177;32.70967;32.083775;47.594902;45.405468;38.845695;24.324375;40.067856;57.177647;51.843925;45.98882;50.44176;44.69479;25.348162;0;87.98259;0;2.2283392;0;0;0;0;0;0;0;415.5842;0;0;0;0;2.7995558;0;0;0;373.50665;0;2.0694852;0
142.0348207;103.58983;73.404015;27.293297;67.793106;66.67414;61.020634;57.675125;123.19963;44.34577;203.83345;141.93378;168.98215;146.69734;137.96603;550.172;261.6449;156.54366;155.75725;421.87674;154.832;119.82751;180.61421;112.20966;242.6583;160.82309;129.27882;0;0;0;0;0;0;0;0;0;0;0;48.541103;0;0;0;0;0;0;0;0;0;0;0;0
142.938678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;503.80768;16.767134;7.334537;0;0;0;0;0;0;0;54.746323;0;0;0;53.355255;2.0236382;0;0;0;11.879293;0;26.980036;0
144.0477538;93.82649;0;0;0;0;0;0;0;0;302.16806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147.0140949;69.20236;29.650537;16.783455;56.38702;2.0049458;50.00155;5.9282355;7.05986;40.244095;173.96948;88.08103;116.31089;112.448975;86.677414;435.09558;156.97661;112.834946;113.27807;297.17944;100.25646;84.49066;138.19867;50.306854;146.23677;90.8039;94.788475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
