0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.849.338;1.355.427;55.319.363;6.121.632;485.332;22.409.764;21.992.205;15.129.846;8.051.506;16.098.366;20.470.224;13.143.137;27.142.642;10.503.995;20.834.265;43.236.607;6.233.822;18.679.832;11.669.975;23.032.953;20.777.374;1.382.414;57.174.126;24.136.707
8.288.624;6.285.302;35.842.945;43.619.076;20.063.797;20.768.614;0;0;0;21.258.905;5.921.864;19.128.927;1.937.567;5.663.203;4.668.348;15.919.919;73.951.935;450.737;48.192.966;20.537.677;13.670.015;6.547.521;8.250.324;1.971.253;59.076.435;7.027.367;41.517.273;128.794.365;55.650.463;13.792.294;22.706.456;29.064.325;86.876.564;565.503;51.001.183;15.236.973;112.274.254;4.099.763;55.187.077;29.284.744;9.740.214;24.965.935;18.509.229;214.836;18.853.455;39.020.447;44.582.062;5.233.054;6.266.219;53.523.865
0;0;0;0;0;0;0;0;0;0;0;0;59.253.002;0;0;0;0;0;0;0;0;0;0;0;2.864.424;0;0;0;0;0;0;0;0;0;22.232.003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.126.092;0;11.203.005;84.775.024;64.683.606;18.857.793;63.474.274;16.051.432;8.488.971;61.973.965;0;27.416.512;137.599.125;13.403.299;708.795;8.314.714;1.514.525;41.112.045;11.930.229;21.378.098;119.893.105;17.100.797
3.436.474;27.912.976;16.635.059;35.486.032;2.059.563;27.020.142;17.263.622;12.076.802;28.815.033;66.874.506;12.236.002;13.332.191;13.414.884;6.316.428;2.438.433;791.421;1.190.422;11.850.172;17.943.197;12.816.764;1.135.083;552.692;2.847.745;9.615.593;26.494.315;6.644.084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;33.812.225;0;0;0;0;0;0;0;0;0;0;0;0;0;20.526.735;0;0;0;0;0;0;0;0;14.554.607;0;0;0;0;0;0;0;0;0;28.211.957;0;0;0;0;0;0;0;0;0;0;0;0
70.315.456;17.114.973;9.068.636;2.824.692;18.523.663;14.279.414;13.995.943;21.367.945;30.865.614;49.354.706;38.014.545;50.799.828;55.143.177;3.270.967;32.083.775;47.594.902;45.405.468;38.845.695;24.324.375;40.067.856;57.177.647;51.843.925;4.598.882;5.044.176;4.469.479;25.348.162;0;8.798.259;0;22.283.392;0;0;0;0;0;0;0;4.155.842;0;0;0;0;27.995.558;0;0;0;37.350.665;0;20.694.852;0
10.358.983;73.404.015;27.293.297;67.793.106;6.667.414;61.020.634;57.675.125;12.319.963;4.434.577;20.383.345;14.193.378;16.898.215;14.669.734;13.796.603;550.172;2.616.449;15.654.366;15.575.725;42.187.674;154.832;11.982.751;18.061.421;11.220.966;2.426.583;16.082.309;12.927.882;0;0;0;0;0;0;0;0;0;0;0;48.541.103;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.380.768;16.767.134;7.334.537;0;0;0;0;0;0;0;54.746.323;0;0;0;53.355.255;20.236.382;0;0;0;11.879.293;0;26.980.036;0
9.382.649;0;0;0;0;0;0;0;0;30.216.806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.920.236;29.650.537;16.783.455;5.638.702;20.049.458;5.000.155;59.282.355;705.986;40.244.095;17.396.948;8.808.103;11.631.089;112.448.975;86.677.414;43.509.558;15.697.661;112.834.946;11.327.807;29.717.944;10.025.646;8.449.066;13.819.867;50.306.854;14.623.677;908.039;94.788.475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.169.725;3.995.936;118.822.266;11.831.622;0;0;28.285.465;3.602.153;0;0;21.311.947;14.566.614;0;0;0;41.787.083;13.367.314;7.243.219;46.580.486;0;9.250.715;0;8.397.414;24.335.783
0;28.806.873;23.181.655;0;0;0;0;16.943.738;0;3.872.587;1.619.683;18.653.062;20.133.424;21.205.016;2.590.203;28.597.894;22.828.963;22.437.263;19.475.388;20.578.513;18.869.205;24.245.499;14.454.497;25.771.503;25.354.698;19.321.327;12.641.185;2.012.864;24.471.469;29.007.898;22.220.512;24.835.843;30.244.513;18.573.433;24.745.131;2.538.458;27.998.474;21.890.102;18.371.143;20.664.172;20.781.718;24.749.142;27.628.363;3.190.603;2.850.344;17.921.315;2.207.832;25.075.227;13.638.564;27.542.526
30.847.126;25.177.979;731.526;40.552.615;10.862.485;15.911.764;11.447.651;14.078.918;95.561.395;37.123.171;82.182.236;12.915.973;36.364.407;5.482.808;2.186.425;42.271.782;5.360.612;5.431.968;3.974.832;24.077.072;26.892.578;0;15.285.226;886.383;15.535.177;18.334.284;15.638.283;20.701.084;17.189.527;44.863.506;0;11.288.897;74.666.916;0;0;61.579.567;0;0;23.741.684;0;25.477.308;20.249.496;21.177.513;3.765.692;0;49.964.056;6.414.128;0;5.185.152;35.725.945
19.468.918;18.777.318;42.540.973;2.972.791;8.177.202;434.762;77.346.814;61.626.385;69.295.197;8.160.116;43.784.576;13.227.321;32.265.308;8.272.477;68.289.044;8.883.227;58.729.645;73.287.634;5.366.618;7.905.652;73.789.166;90.120.526;7.670.507;88.103.394;85.602.386;43.765.143;48.849.766;2.404.981;21.033.365;25.249.268;31.288.118;32.234.543;16.393.051;54.475.475;44.423.706;0;2.532.986;0;26.831.434;0;2.439.368;0;29.452.448;20.702.229;0;0;0;0;24.748.354;0
38.258.386;38.328.937;50.806.088;44.275.354;42.033.163;37.319.052;30.271.237;35.047.583;36.283.755;9.439.893;9.616.728;62.668.995;49.431.458;7.601.913;98.761.734;87.678.314;52.235.626;78.471.596;9.412.861;9.387.348;104.103;12.706.508;117.608.826;17.908.202;13.406.111;121.954.956;34.140.256;35.365.082;38.696.725;4.486.632;34.530.264;35.049.393;45.122.217;34.810.953;37.748.892;3.304.226;4.333.069;39.574.594;3.191.259;28.812.524;25.814.355;43.467.926;37.881.766;47.083.203;50.131.345;39.784.946;36.588.702;4.330.258;2.644.209;51.540.546
